id,name,dbpedia_url
nsl,Norwegian Sign Language,http://dbpedia.org/resource/Norwegian_Sign_Language
nsm,"Naga, Sumi",
nsn,Nehan,
lns,Lamnso',
nsq,"Miwok, Northern Sierra",
nst,"Naga, Tase",
nsz,Nisenan,http://dbpedia.org/resource/Nisenan_language
ntj,Ngaanyatjarra,http://dbpedia.org/resource/Ngaatjatjarra
ntm,Nateni,
nto,Ntomba,
ntp,"Tepehuan, Northern",http://dbpedia.org/resource/Tepehu%C3%A1n_language
nuf,Nusu,
num,Niuafo'ou,http://dbpedia.org/resource/Niuafo%27ou_language
nun,Nung,http://dbpedia.org/resource/Anung_language
nup,Nupe-Nupe-Tako,
nus,Nuer,http://dbpedia.org/resource/Nuer_language
nut,Nung,
nuv,"Nuni, Northern",
nux,Mehek,
nuy,Nunggubuyu,http://dbpedia.org/resource/Nunggubuyu_language
nwi,"Tanna, Southwest",
nxg,Ngad'a,http://dbpedia.org/resource/Ngadha_language
nxl,"Nuaulu, South",
nxn,Ngawun,http://dbpedia.org/resource/Ngawun_language
nyj,Nyanga,http://dbpedia.org/resource/Nyanga_language
nyh,Nyigina,http://dbpedia.org/resource/Nyigina_language
nyi,Ama,
nya,Nyanja,http://dbpedia.org/resource/Chichewa_language
now,Nyambo,
nyn,Nyankore,
nyp,Nyang'i,
nyo,Nyoro,
nys,Nyunga,http://dbpedia.org/resource/Noongar
nyt,Nyawaygi,
nyv,Nyulnyul,http://dbpedia.org/resource/Nyulnyul_language
nym,Nyamwezi,
nzk,Nzakara,
nzm,"Naga, Zeme",
nzs,New Zealand Sign Language,http://dbpedia.org/resource/New_Zealand_Sign_Language
oaa,Orok,http://dbpedia.org/resource/Orok_language
oac,Oroch,http://dbpedia.org/resource/Oroch_language
oca,Ocaina,http://dbpedia.org/resource/Ocaina_language
ocu,"Matlatzinca, Atzingo",
ogb,Ogbia,
ogu,Ogbronuagum,
ojg,"Ojibwa, Eastern",http://dbpedia.org/resource/Eastern_Ojibwa_language
ojs,"Ojibwa, Severn",http://dbpedia.org/resource/Oji-Cree_language
oka,Okanagan,http://dbpedia.org/resource/Okanagan_language
oku,Oku,
oma,Omaha-Ponca,http://dbpedia.org/resource/Omaha-Ponca_language
omb,"Ambae, East",http://dbpedia.org/resource/East_Ambae_language
omg,Omagua,
ona,Ona,http://dbpedia.org/resource/Ona_language
one,Oneida,http://dbpedia.org/resource/Oneida_language
ong,Olo,
ono,Onondaga,http://dbpedia.org/resource/Onondaga_language
ons,Ono,
oon,Öñge,http://dbpedia.org/resource/%C3%96nge_language
opm,Oksapmin,http://dbpedia.org/resource/Oksapmin_language
ore,Orejón,
okv,Orokaiva,
oro,Orokolo,http://dbpedia.org/resource/Orokolo
ort,"Oriya, Adivasi",
oru,Ormuri,
ori,Oriya,http://dbpedia.org/resource/Morphemes_in_Oriya
osa,Osage,http://dbpedia.org/resource/Osage_language
oss,Osetin,http://dbpedia.org/resource/Ossetic_language
otz,"Otomi, Ixtenco",
ote,"Otomi, Mezquital",http://dbpedia.org/resource/Mezquital_Otomi
otm,"Otomi, Eastern Highland",http://dbpedia.org/resource/Highland_Otomi
otq,"Otomi, Querétaro",
otr,Otoro,
oua,Tagargrent,
oym,Wayampi,
oyb,Oy,
pab,Parecís,
pac,Pacoh,
pad,Paumarí,
pap,Papiamentu,http://dbpedia.org/resource/Papiamento
plu,Palikúr,
pao,"Paiute, Northern",http://dbpedia.org/resource/Northern_Paiute_language
ood,Tohono O’odham,http://dbpedia.org/resource/O%27odham_language
par,Timbisha,
bvz,Bauzi,
pav,Pakaásnovos,http://dbpedia.org/resource/Wari%E2%80%99_language
paw,Pawnee,http://dbpedia.org/resource/Pawnee_language
pay,Pech,
rap,Rapa Nui,http://dbpedia.org/resource/Rapa_Nui_language
pbb,Páez,http://dbpedia.org/resource/P%C3%A1ez_language
pbe,"Popoloca, Mezontla",
pbf,"Popoloca, Coyotepec",
pbh,E’ñapa Woromaipu,http://dbpedia.org/resource/Panare
pbi,Parkwa,
pbr,Pangwa,
pbs,"Pame, Central",
pce,"Palaung, Ruching",
pci,Duruwa,
pck,"Chin, Paite",
pcm,"Pidgin, Nigerian",http://dbpedia.org/resource/Nigerian_Pidgin
tpi,Tok Pisin,http://dbpedia.org/resource/Tok_Pisin
pdo,Padoe,
peb,"Pomo, Eastern",http://dbpedia.org/resource/Eastern_Pomo_language
peg,Pengo,
peh,Bonan,http://dbpedia.org/resource/Bonan_language
pei,Chichimeca-Jonaz,
pej,"Pomo, Northern",
pom,"Pomo, Southeastern",
pes,"Farsi, Western",
tgk,Tajiki,http://dbpedia.org/resource/Tajik_Persian
pgu,Pagu,
pia,Pima Bajo,http://dbpedia.org/resource/Pima_Bajo
pib,Yine,
pid,Piaroa,
pif,Pingelapese,http://dbpedia.org/resource/Pingelapese_language
pim,Powhatan,http://dbpedia.org/resource/Powhatan_language
pio,Piapoco,
pip,Pero,
pir,Piratapuyo,
pit,Pitta Pitta,http://dbpedia.org/resource/Pitta_Pitta_language
piu,Pintupi-Luritja,http://dbpedia.org/resource/Pintupi_language
piv,Vaeakau-Taumako,http://dbpedia.org/resource/Pileni_language
