id,name,gbs_id
Bhaskararao-1998,Bhaskararao 1998,CF5Qo4NDE64C
Bhat-1967,Bhat 1967,
Bhat-1968,Bhat 1968,
Bhat-1978,Bhat 1978,
Bhat-1987,Bhat 1987,
Bhat-1991,Bhat 1991,
Bhat-and-Ningomba-1997,Bhat and Ningomba 1997,
Bhatia-1993,Bhatia 1993,WzkOAAAAQAAJ
Bhatia-2000,Bhatia 2000,GRAWRpyqRusC
Bhatia-2001,Bhatia 2001,
Bhattacharya-1976,Bhattacharya 1976,
Bhattacharya-1977,Bhattacharya 1977,
Biarney-1908,Biarney 1908,
Bibolotti-1917,Bibolotti 1917,
Bickel-1996,Bickel 1996,
Bickel-2001,Bickel 2001,
Bickel-2003,Bickel 2003,5MeWSTQ7F44C
Bickel-and-Nichols-2007,Bickel and Nichols 2007,
Bickmore-1989,Bickmore 1989,
Bickmore-1992,Bickmore 1992,
Bidwell-1955,Bidwell 1955,
Bidwell-1968,Bidwell 1968,
Bielec-1998,Bielec 1998,nVSRIHP7ceAC
Bielenstein-1863,Bielenstein 1863,sN8GAAAAQAAJ
Biermann-1985,Biermann 1985,
Biggs-1994,Biggs 1994,
Biligiri-1965,Biligiri 1965,
Biloa-1993,Biloa 1993,
Biloa-1997,Biloa 1997,
Binh-1971,Binh 1971,
Binnick-1979,Binnick 1979,
Binnick-2001,Binnick 2001,
Bird-1966,Bird 1966,
Bird-and-Kante-1976,Bird and Kante 1976,
Bird-and-Kante-1977,Bird and Kante 1977,
Bird-et-al-1977,Bird et al. 1977,
Birjukovich-1997,Birjukovich 1997,
Birk-1975,Birk 1975,
Birk-1976,Birk 1976,
Biro-et-al-1965,Biro et al. 1965,
Birtalan-2003,Birtalan 2003,
Bisang-1991,Bisang 1991,0ej2M51Hp5IC
Bisang-1992,Bisang 1992,GgiQKzkM0JMC
Biton-1969,Biton 1969,
Bivon-1971,Bivon 1971,
Bjorverud-1998,Björverud 1998,
Black-2000,Black 2000,
Black-and-Black-1971,Black and Black 1971,
Black-Rogers-1982,Black-Rogers 1982,
Blackings-and-Fabb-2003,Blackings and Fabb 2003,j1zDfnNK-QcC
Blake-1969,Blake 1969,
Blake-1979a,Blake 1979a,
Blake-1979b,Blake 1979b,
Blake-1979c,Blake 1979c,
Blake-1991,Blake 1991,
Blake-1994,Blake 1994,FGAMJ7YAly0C
Blake-2003,Blake 2003,
Blake-and-Breen-1971,Blake and Breen 1971,
Blake-et-al-1998a,Blake et al. 1998a,
Blake-et-al-1998b,Blake et al. 1998b,
Blanc-1971,Blanc 1971,
Blasco-1986,Blasco 1986,
Blass-1975,Blass 1975,
Blau-1980,Blau 1980,
Blecke-1996,Blecke 1996,
Bleek-1937,Bleek 1937,
Bleek-1956,Bleek 1956,
Blevins-2001,Blevins 2001,4xMmhSYSELAC
Bley-1912,Bley 1912,
Bliese-1981,Bliese 1981,
Bloch-1950,Bloch 1950,
Blood-1966,Blood 1966,
Blood-1967,Blood 1967,
Bloomfield-1917,Bloomfield 1917,
Bloomfield-1933,Bloomfield 1933,87BCDVsmFE4C
Bloomfield-1957,Bloomfield 1957,
Bloomfield-1962,Bloomfield 1962,
Bloomfield-1975,Bloomfield 1975,
